,Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,scenario,behavior
10,1509087248384.0,-2.279279947280884,4.529829502105713,8.379706382751465,1509087248384.0,-1.9885706901550293,4.331270217895508,8.580819129943848,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.40861040353775024,-0.4903324842453003,0.6537767052650452,1509087248384.0,-6.659999847412109,-36.71999740600586,-4.859999656677246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,1509087248384.0,-1.8291701078414917,4.616020679473877,7.90086555480957,1509087248384.0,-1.9885706901550293,4.331270217895508,8.580819129943848,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.28602728247642517,0.19068486988544464,-0.20430520176887512,1509087248384.0,-5.279999732971191,-36.89999771118164,-3.7200000286102295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,1509087248384.0,-1.9249382019042969,4.290409564971924,9.126696586608887,1509087248384.0,-1.9885706901550293,4.331270217895508,8.580819129943848,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.1634441763162613,0.28602728247642517,-0.6810173988342285,1509087248384.0,-4.619999885559082,-36.779998779296875,-2.879999876022339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,1509087248384.0,-2.049436569213867,4.491522312164307,8.370129585266113,1509087248384.0,-1.9885706901550293,4.331270217895508,8.580819129943848,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.06810173392295837,-0.04086104407906532,0.544813871383667,1509087248384.0,-4.259999752044678,-37.13999938964844,-2.5799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,1509087248384.0,-1.8579005002975464,4.520252704620361,7.843404769897461,1509087248384.0,-1.9885706901550293,4.344890594482422,8.580819129943848,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.054481390863657,0.13620346784591675,-0.217925563454628,1509087248384.0,-4.440000057220459,-37.13999938964844,-2.3999998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15,1509087248384.0,-1.9823989868164062,3.936067581176758,9.892841339111328,1509087248384.0,-1.9749503135681152,4.372131824493408,8.567198753356934,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.12258312106132507,0.14982382953166962,-0.7218784093856812,1509087248384.0,-5.039999961853027,-36.18000030517578,-2.3999998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16,1509087248384.0,-2.250549554824829,4.6255974769592285,7.230489253997803,1509087248384.0,-1.9749503135681152,4.385752201080322,8.55357837677002,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.0,-0.44947144389152527,1.334794044494629,1509087248384.0,-4.859999656677246,-36.18000030517578,-2.700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,1509087248384.0,-1.5131354331970215,4.271255970001221,8.5903959274292,1509087248384.0,-1.9613299369812012,4.399372577667236,8.55357837677002,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.28602728247642517,0.217925563454628,-1.3211736679077148,1509087248384.0,-4.619999885559082,-36.18000030517578,-2.700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18,1509087248384.0,-2.1547815799713135,4.6734819412231445,7.680599212646484,1509087248384.0,-1.9613299369812012,4.399372577667236,8.55357837677002,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.44947144389152527,-0.13620346784591675,0.04086104407906532,1509087248384.0,-4.679999828338623,-36.47999954223633,-2.700000047683716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,1509087248384.0,-1.742978811264038,4.443638324737549,8.034940719604492,1509087248384.0,-1.9613299369812012,4.412992477416992,8.55357837677002,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.19068486988544464,0.2587866187095642,-0.871702253818512,1509087248384.0,-4.079999923706055,-37.2599983215332,-2.5799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,1509087248384.0,-1.6184803247451782,4.309563159942627,8.887276649475098,1509087248384.0,-1.9477096796035767,4.412992477416992,8.55357837677002,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.20430520176887512,0.0272406954318285,-0.5175732374191284,1509087248384.0,-4.259999752044678,-37.07999801635742,-2.5799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,1509087248384.0,-1.8387469053268433,4.520252704620361,8.53293514251709,1509087248384.0,-1.9477096796035767,4.44023323059082,8.539958000183105,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.34050869941711426,-0.13620346784591675,0.34050869941711426,1509087248384.0,-4.679999828338623,-37.07999801635742,-2.5799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,1509087248384.0,-2.1739351749420166,4.721365928649902,7.402871608734131,1509087248384.0,-1.9477096796035767,4.467473983764648,8.526337623596191,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.108962781727314,0.054481390863657,0.0,1509087248384.0,-4.619999885559082,-37.07999801635742,-2.3999998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23,1509087248384.0,-1.6950948238372803,4.462791919708252,8.130708694458008,1509087248384.0,-1.9340893030166626,4.4810943603515625,8.512717247009277,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.23154591023921967,0.23154591023921967,-1.116868495941162,1509087248384.0,-4.859999656677246,-37.07999801635742,-2.5799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,1509087248384.0,-1.8291701078414917,4.357447147369385,9.08838939666748,1509087248384.0,-1.9340893030166626,4.508335113525391,8.499096870422363,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.24516624212265015,-0.054481390863657,-0.3677493631839752,1509087248384.0,-4.859999656677246,-37.13999938964844,-2.5799999237060547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,1509087248384.0,-1.9919757843017578,4.63517427444458,8.35097599029541,1509087248384.0,-1.9340893030166626,4.535575866699219,8.48547649383545,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,0.108962781727314,-0.17706450819969177,0.5992953181266785,1509087248384.0,-4.619999885559082,-37.439998626708984,-2.3999998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,1509087248384.0,-1.8483237028121948,4.606443881988525,7.7763671875,1509087248384.0,-1.920469045639038,4.549196243286133,8.48547649383545,0.0,0.0,0.0,0.0,0.0,0.0,1509087248384.0,-0.06810173392295837,0.08172208815813065,-0.13620346784591675,1509087248384.0,-4.619999885559082,-37.13999938964844,-2.3999998569488525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
