Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,id,scenario,behavior,class
1510572036688.0,-0.39871216,-0.015106201,9.505234,1510572036701.0,-0.42881423,-0.015729059,9.797257,1510572036701.0,-0.00065612793,-0.001083374,-0.0006713867,0,0,1510572036702.0,0.0151254535,7.351022e-05,0.050151825,1510572036724.0,-23.176575,13.0355835,-41.641235,1510572036713.0,1015.4919,0,0,0,0,1510572036702.0,0.012077587,0.018248683,-0.5819638,0.8129202,0,0,0,0,0,0,0,0
1510572036818.0,-0.3963318,-0.019866943,9.476669,1510572036829.0,-0.429703,-0.017478492,9.797215,1510572036828.0,0.0004119873,-1.5258789e-05,0.00039672852,0,0,1510572036829.0,0.01849243,-0.0029936563,0.018689156,1510572036853.0,-24.040222,11.830139,-42.144775,1510572036848.0,1015.4919,0,0,0,0,1510572036830.0,0.012034209,0.018335674,-0.58208597,0.8128314,0,0,0,0,0,0,0,0
1510572036949.0,-0.40585327,-0.01272583,9.440964,1510572036961.0,-0.42491835,-0.016885763,9.797425,1510572036958.0,0.0004119873,-0.001083374,-0.001739502,0,0,1510572036961.0,0.0041083097,0.0035655685,-0.011600494,1510572036989.0,-24.559021,12.347412,-41.641235,1510572036987.0,1015.4919,0,0,0,0,1510572036962.0,0.011913718,0.018121524,-0.58195734,0.8129301,0,0,0,0,0,0,0,0
1510572037079.0,-0.40823364,-0.015106201,9.460007,1510572037092.0,-0.42312956,-0.018362544,9.797501,1510572037091.0,-0.00065612793,-0.001083374,0.00039672852,0,0,1510572037093.0,-0.00014573336,0.0026035812,0.010793686,1510572037116.0,-24.214172,12.002563,-40.968323,1510572037115.0,1015.50183,0,0,0,0,1510572037094.0,0.011800527,0.018090386,-0.58201116,0.8128939,0,0,0,0,0,0,0,0
1510572037209.0,-0.38919067,0.020599365,9.476669,1510572037225.0,-0.42196283,-0.015113757,9.797557,1510572037223.0,-0.0017242432,-0.001083374,-0.0006713867,0,0,1510572037226.0,0.0176543,0.035171635,0.030134201,1510572037249.0,-24.040222,12.519836,-41.471863,1510572037237.0,1015.50183,0,0,0,0,1510572037227.0,0.011895757,0.01794873,-0.5817933,0.8130516,0,0,0,0,0,0,0,0
1510572037340.0,-0.4272766,-0.017486572,9.450485,1510572037349.0,-0.4255741,-0.01776422,9.797396,1510572037349.0,-0.0017242432,-0.001083374,-0.0006713867,0,0,1510572037350.0,-0.017027527,-0.00036204606,0.0058956146,1510572037375.0,-24.559021,11.657715,-41.304016,1510572037365.0,1015.50183,0,0,0,0,1510572037350.0,0.011898238,0.018173842,-0.58202285,0.81288224,0,0,0,0,0,0,0,0
1510572037470.0,-0.4201355,0.0015563965,9.429062,1510572037484.0,-0.42768842,-0.015362832,9.797308,1510572037480.0,-0.00065612793,0.0010528564,-0.001739502,0,0,1510572037484.0,-0.007802099,0.016367666,-0.01649952,1510572037506.0,-25.941467,12.347412,-41.641235,1510572037495.0,1015.4919,0,0,0,0,1510572037485.0,0.012058337,0.018191764,-0.5819199,0.8129532,0,0,0,0,0,0,0,0
1510572037600.0,-0.44631958,-0.007965088,9.436203,1510572037610.0,-0.43564263,-0.019774623,9.796949,1510572037610.0,-0.0017242432,-1.5258789e-05,-0.001739502,0,0,1510572037611.0,-0.026767462,0.011079157,0.0011053085,1510572037635.0,-23.695374,12.863159,-40.800476,1510572037630.0,1015.50183,0,0,0,0,1510572037611.0,0.01212134,0.018646423,-0.5823388,0.8126419,0,0,0,0,0,0,0,0
1510572037730.0,-0.45108032,-0.048431396,9.405258,1510572037749.0,-0.43746874,-0.023558501,9.79686,1510572037747.0,-0.00065612793,-0.001083374,-0.001739502,0,0,1510572037750.0,-0.03000176,-0.025755536,-0.024553299,1510572037767.0,-25.424194,11.830139,-40.463257,1510572037755.0,1015.50183,0,0,0,0,1510572037754.0,0.012024861,0.018830672,-0.5826007,0.81245136,0,0,0,0,0,0,0,0
1510572037860.0,-0.41775513,-0.050811768,9.457626,1510572037871.0,-0.43589395,-0.027632453,9.796919,1510572037871.0,-0.00065612793,-1.5258789e-05,0.00039672852,0,0,1510572037872.0,0.0021826327,-0.024190819,0.019330025,1510572037897.0,-24.214172,13.0355835,-42.312622,1510572037890.0,1015.51184,0,0,0,0,1510572037872.0,0.011814147,0.018883359,-0.58281446,0.8122999,0,0,0,0,0,0,0,0
