Action,Bot,Time,correct_x,correct_y,event_type,op_x,op_y,scenario,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,terminal
0,1,1524555599598,954,475,0,939,592,1,800,559,842,599,0
0,1,1524555599599,954,475,0,939,592,1,800,559,842,599,0
0,1,1524555599615,954,475,0,940,592,1,800,559,842,599,0
0,1,1524555599615,954,475,0,940,592,1,800,559,842,599,0
0,1,1524555599631,954,475,0,943,591,1,800,559,842,599,0
0,1,1524555599632,954,475,0,943,591,1,800,559,842,599,0
0,1,1524555599649,954,475,0,945,590,1,800,559,842,599,0
0,1,1524555599649,954,475,0,945,590,1,800,559,842,599,0
0,1,1524555599665,954,475,0,948,588,1,800,559,842,599,0
0,1,1524555599666,954,475,0,948,588,1,800,559,842,599,0
0,1,1524555599683,954,475,0,954,586,1,800,559,842,599,0
0,1,1524555599683,954,475,0,954,586,1,800,559,842,599,0
0,1,1524555599699,954,475,0,960,584,1,800,559,842,599,0
0,1,1524555599700,954,475,0,960,584,1,800,559,842,599,0
0,1,1524555599715,954,475,0,965,582,1,800,559,842,599,0
0,1,1524555599716,954,475,0,965,582,1,800,559,842,599,0
0,1,1524555599732,954,475,0,968,582,1,800,559,842,599,0
0,1,1524555599732,954,475,0,968,582,1,800,559,842,599,0
0,1,1524555599915,954,475,0,970,581,1,800,559,842,599,0
0,1,1524555599915,954,475,0,970,581,1,800,559,842,599,0
0,1,1524555599932,954,475,0,972,580,1,800,559,842,599,0
0,1,1524555599932,954,475,0,972,580,1,800,559,842,599,0
13,1,1524555600353,954,475,0,972,580,1,800,559,842,599,0
0,1,1524555600380,954,475,0,972,580,1,800,559,842,599,0
