Action,Time,correct_x,correct_y,event_type,op_x,op_y,scenario,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,terminal,Bot
0,1524554772254,663,817,0,515,936,1,440,892,482,932,0,
0,1524554772284,663,817,0,520,937,1,440,892,482,932,0,
0,1524554772285,663,817,0,520,937,1,440,892,482,932,0,
0,1524554772309,663,817,0,525,938,1,440,892,482,932,0,
0,1524554772310,663,817,0,525,938,1,440,892,482,932,0,
0,1524554772339,663,817,0,527,939,1,440,892,482,932,0,
0,1524554772340,663,817,0,527,939,1,440,892,482,932,0,
0,1524554772370,663,817,0,530,940,1,440,892,482,932,0,
0,1524554772371,663,817,0,530,940,1,440,892,482,932,0,
0,1524554772396,663,817,0,534,941,1,440,892,482,932,0,
0,1524554772396,663,817,0,534,941,1,440,892,482,932,0,
0,1524554772424,663,817,0,538,942,1,440,892,482,932,0,
0,1524554772426,663,817,0,538,942,1,440,892,482,932,0,
0,1524554772451,663,817,0,543,943,1,440,892,482,932,0,
0,1524554772452,663,817,0,543,943,1,440,892,482,932,0,
0,1524554772480,663,817,0,546,944,1,440,892,482,932,0,
0,1524554772481,663,817,0,546,944,1,440,892,482,932,0,
0,1524554772511,663,817,0,551,945,1,440,892,482,932,0,
0,1524554772513,663,817,0,551,945,1,440,892,482,932,0,
0,1524554772548,663,817,0,555,946,1,440,892,482,932,0,
0,1524554772549,663,817,0,555,946,1,440,892,482,932,0,
0,1524554772569,663,817,0,557,947,1,440,892,482,932,0,
0,1524554772570,663,817,0,557,947,1,440,892,482,932,0,
0,1524554772599,663,817,0,558,948,1,440,892,482,932,0,
0,1524554772601,663,817,0,558,948,1,440,892,482,932,0,
0,1524554772630,663,817,0,563,949,1,440,892,482,932,0,
0,1524554772631,663,817,0,563,949,1,440,892,482,932,0,
0,1524554772660,663,817,0,566,950,1,440,892,482,932,0,
0,1524554772661,663,817,0,566,950,1,440,892,482,932,0,
0,1524554772692,663,817,0,568,951,1,440,892,482,932,0,
0,1524554772692,663,817,0,568,951,1,440,892,482,932,0,
0,1524554772718,663,817,0,573,952,1,440,892,482,932,0,
0,1524554772719,663,817,0,573,952,1,440,892,482,932,0,
0,1524554772752,663,817,0,576,953,1,440,892,482,932,0,
0,1524554772754,663,817,0,576,953,1,440,892,482,932,0,
0,1524554772777,663,817,0,579,954,1,440,892,482,932,0,
0,1524554772778,663,817,0,579,954,1,440,892,482,932,0,
0,1524554772803,663,817,0,581,955,1,440,892,482,932,0,
0,1524554772804,663,817,0,581,955,1,440,892,482,932,0,
0,1524554772834,663,817,0,586,956,1,440,892,482,932,0,
0,1524554772835,663,817,0,586,956,1,440,892,482,932,0,
0,1524554772862,663,817,0,590,957,1,440,892,482,932,0,
0,1524554772864,663,817,0,590,957,1,440,892,482,932,0,
0,1524554772897,663,817,0,595,958,1,440,892,482,932,0,
0,1524554772904,663,817,0,595,958,1,440,892,482,932,0,
0,1524554772922,663,817,0,600,959,1,440,892,482,932,0,
0,1524554772923,663,817,0,600,959,1,440,892,482,932,0,
0,1524554772950,663,817,0,603,960,1,440,892,482,932,0,
0,1524554772950,663,817,0,603,960,1,440,892,482,932,0,
0,1524554772977,663,817,0,607,961,1,440,892,482,932,0,
0,1524554772978,663,817,0,607,961,1,440,892,482,932,0,
0,1524554773003,663,817,0,612,962,1,440,892,482,932,0,
0,1524554773005,663,817,0,612,962,1,440,892,482,932,0,
0,1524554773033,663,817,0,617,963,1,440,892,482,932,0,
0,1524554773033,663,817,0,617,963,1,440,892,482,932,0,
0,1524554773064,663,817,0,622,964,1,440,892,482,932,0,
0,1524554773066,663,817,0,622,964,1,440,892,482,932,0,
0,1524554773085,663,817,0,624,965,1,440,892,482,932,0,
0,1524554773087,663,817,0,624,965,1,440,892,482,932,0,
0,1524554773127,663,817,0,625,966,1,440,892,482,932,0,
0,1524554773128,663,817,0,625,966,1,440,892,482,932,0,
0,1524554773144,663,817,0,627,967,1,440,892,482,932,0,
0,1524554773145,663,817,0,627,967,1,440,892,482,932,0,
0,1524554773178,663,817,0,632,968,1,440,892,482,932,0,
0,1524554773179,663,817,0,632,968,1,440,892,482,932,0,
0,1524554773204,663,817,0,635,969,1,440,892,482,932,0,
0,1524554773205,663,817,0,635,969,1,440,892,482,932,0,
0,1524554773232,663,817,0,638,970,1,440,892,482,932,0,
0,1524554773236,663,817,0,638,970,1,440,892,482,932,0,
0,1524554773259,663,817,0,641,971,1,440,892,482,932,0,
0,1524554773260,663,817,0,641,971,1,440,892,482,932,0,
0,1524554773292,663,817,0,642,972,1,440,892,482,932,0,
0,1524554773293,663,817,0,642,972,1,440,892,482,932,0,
0,1524554773322,663,817,0,647,973,1,440,892,482,932,0,
0,1524554773324,663,817,0,647,973,1,440,892,482,932,0,
0,1524554773353,663,817,0,649,974,1,440,892,482,932,0,
0,1524554773355,663,817,0,649,974,1,440,892,482,932,0,
0,1524554773381,663,817,0,653,975,1,440,892,482,932,0,
0,1524554773383,663,817,0,653,975,1,440,892,482,932,0,
0,1524554773405,663,817,0,657,976,1,440,892,482,932,0,
0,1524554773408,663,817,0,657,976,1,440,892,482,932,0,
0,1524554773435,663,817,0,662,977,1,440,892,482,932,0,
0,1524554773436,663,817,0,662,977,1,440,892,482,932,0,
0,1524554773470,663,817,0,665,978,1,440,892,482,932,0,
0,1524554773472,663,817,0,665,978,1,440,892,482,932,0,
0,1524554773502,663,817,0,666,979,1,440,892,482,932,0,
0,1524554773504,663,817,0,666,979,1,440,892,482,932,0,
0,1524554773529,663,817,0,668,980,1,440,892,482,932,0,
0,1524554773530,663,817,0,668,980,1,440,892,482,932,0,
0,1524554773559,663,817,0,671,981,1,440,892,482,932,0,
0,1524554773560,663,817,0,671,981,1,440,892,482,932,0,
0,1524554773625,663,817,0,672,982,1,440,892,482,932,0,
0,1524554773626,663,817,0,672,982,1,440,892,482,932,0,
0,1524554773660,663,817,0,676,983,1,440,892,482,932,0,
0,1524554773661,663,817,0,676,983,1,440,892,482,932,0,
0,1524554773675,663,817,0,681,984,1,440,892,482,932,0,
0,1524554773676,663,817,0,681,984,1,440,892,482,932,0,
13,1524554773688,663,817,0,681,984,1,440,892,482,932,0,
