WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
2.1.2.2.1.11,MBS@第六章,2019/2/3 下午12:00,2019/2/3 下午8:00,7 小时,1 天,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.10,,0,￥1.00,￥1.00
2.1.2.2.1.12,第六章@ MBS finish,2019/2/3 下午8:00,2019/2/3 下午8:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.11,,,￥1.00,￥1.00
2.1.2.2.1.13,MBS@第七章,2019/2/3 下午8:00,2019/2/5 上午7:45,2 天 2 小时 45 分,1 天,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.12,,0,￥1.00,￥1.00
2.1.2.2.1.14,第七章@ MBS finish,2019/2/5 上午7:45,2019/2/5 上午7:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.2.1.13,,,￥1.00,￥1.00
2.1.2.3,England,2019/1/14 下午9:00,2019/2/24 下午8:30,3 月 3 周 1 天 6 小时 30 分,1 月 1 周 1 天,< 1%,￥26.00,,,,,,2018/12/5 上午8:00,,,,,￥52.00,￥78.00
2.1.2.3.1,人性的枷锁,2019/1/14 下午9:00,2019/1/27 下午10:45,1 月 4 天 4 小时 45 分,2 周 3 天,< 1%,￥13.00,,,,,,2019/1/2 上午7:00,,,,,￥26.00,￥39.00
2.1.2.3.1.1,RXDJS@第一章,2019/1/14 下午9:00,2019/1/16 上午8:45,2 天 2 小时 45 分,1 天,1%,￥1.00,Off work,,,,,2019/1/14 下午8:00,,,,0,￥1.00,￥2.00
2.1.2.3.1.2,第一章@ RXDJS finish,2019/1/16 上午8:45,2019/1/16 上午8:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.1,,,￥1.00,￥1.00
2.1.2.3.1.3,RXDJS@第二章,2019/1/16 上午8:45,2019/1/18 上午8:15,3 天 5 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.2,,0,￥1.00,￥2.00
2.1.2.3.1.4,第二章@ RXDJS finish,2019/1/18 上午8:15,2019/1/18 上午8:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.3,,,￥1.00,￥1.00
2.1.2.3.1.5,RXDJS@第三章,2019/1/18 上午8:15,2019/1/19 下午12:00,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/6 下午8:00,,2.1.2.3.1.4,,0,￥1.00,￥2.00
2.1.2.3.1.6,第三章@ RXDJS finish,2019/1/19 下午12:00,2019/1/19 下午12:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.5,,,￥1.00,￥1.00
2.1.2.3.1.7,RXDJS@第四章,2019/1/19 下午12:00,2019/1/19 下午8:00,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.6,,0,￥1.00,￥2.00
2.1.2.3.1.8,第四章@ RXDJS finish,2019/1/19 下午8:00,2019/1/19 下午8:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.7,,,￥1.00,￥1.00
2.1.2.3.1.9,RXDJS@第五章,2019/1/19 下午8:00,2019/1/20 下午12:00,1 天,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.8,,0,￥1.00,￥2.00
2.1.2.3.1.10,第五章@ RXDJS finish,2019/1/20 下午12:00,2019/1/20 下午12:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.9,,,￥1.00,￥1.00
2.1.2.3.1.11,RXDJS@第六章,2019/1/20 下午12:00,2019/1/20 下午8:00,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.10,,0,￥1.00,￥2.00
2.1.2.3.1.12,第六章@ RXDJS finish,2019/1/20 下午8:00,2019/1/20 下午8:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.11,,,￥1.00,￥1.00
2.1.2.3.1.13,RXDJS@第七章,2019/1/20 下午8:00,2019/1/22 上午7:45,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.12,,0,￥1.00,￥2.00
2.1.2.3.1.14,第七章@ RXDJS finish,2019/1/22 上午7:45,2019/1/22 上午7:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.13,,,￥1.00,￥1.00
2.1.2.3.1.15,RXDJS@第八章,2019/1/22 上午7:45,2019/1/24 上午7:15,3 天 5 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.14,,0,￥1.00,￥2.00
2.1.2.3.1.16,第八章@ RXDJS finish,2019/1/24 上午7:15,2019/1/24 上午7:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.15,,,￥1.00,￥1.00
2.1.2.3.1.17,RXDJS@第九章,2019/1/24 上午7:15,2019/1/25 下午10:45,3 天 5 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.16,,0,￥1.00,￥2.00
2.1.2.3.1.18,第九章@ RXDJS finish,2019/1/25 下午10:45,2019/1/25 下午10:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.17,,,￥1.00,￥1.00
2.1.2.3.1.19,RXDJS@第十章,2019/1/25 下午10:45,2019/1/26 下午2:45,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.18,,0,￥1.00,￥2.00
2.1.2.3.1.20,第十章@ RXDJS finish,2019/1/26 下午2:45,2019/1/26 下午2:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.19,,,￥1.00,￥1.00
2.1.2.3.1.21,RXDJS@第十一章,2019/1/26 下午2:45,2019/1/26 下午10:45,1 天,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.20,,0,￥1.00,￥2.00
2.1.2.3.1.22,第十一章@ RXDJS finish,2019/1/26 下午10:45,2019/1/26 下午10:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.21,,,￥1.00,￥1.00
2.1.2.3.1.23,RXDJS@第十二章,2019/1/26 下午10:45,2019/1/27 下午2:45,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.22,,0,￥1.00,￥2.00
2.1.2.3.1.24,第十二章@ RXDJS finish,2019/1/27 下午2:45,2019/1/27 下午2:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.23,,,￥1.00,￥1.00
2.1.2.3.1.25,RXDJS@第十三章,2019/1/27 下午2:45,2019/1/27 下午10:45,1 天,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.24,,0,￥1.00,￥2.00
2.1.2.3.1.26,第十三章@ RXDJS finish,2019/1/27 下午10:45,2019/1/27 下午10:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.1.25,,,￥1.00,￥1.00
2.1.2.3.2,故园风雨后,2019/2/11 上午7:00,2019/2/24 下午8:30,1 月 1 周 7 小时 30 分,2 周 3 天,0%,￥13.00,,,,,,2019/2/11 上午7:00,,,,,￥26.00,￥39.00
2.1.2.3.2.1,GYFYH@第一章,2019/2/11 上午7:00,2019/2/12 下午10:30,3 天 5 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/14 下午8:00,,,,0,￥1.00,￥2.00
2.1.2.3.2.2,第一章@ GYFYH finish,2019/2/12 下午10:30,2019/2/12 下午10:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.1,,,￥1.00,￥1.00
2.1.2.3.2.3,GYFYH@第二章,2019/2/12 下午10:30,2019/2/14 下午10:00,3 天 5 小时 30 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.2,,0,￥1.00,￥2.00
2.1.2.3.2.4,第二章@ GYFYH finish,2019/2/14 下午10:00,2019/2/14 下午10:00,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.3,,,￥1.00,￥1.00
2.1.2.3.2.5,GYFYH@第三章,2019/2/14 下午10:00,2019/2/16 上午9:45,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/6 下午8:00,,2.1.2.3.2.4,,0,￥1.00,￥2.00
2.1.2.3.2.6,第三章@ GYFYH finish,2019/2/16 上午9:45,2019/2/16 上午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.5,,,￥1.00,￥1.00
2.1.2.3.2.7,GYFYH@第四章,2019/2/16 上午9:45,2019/2/16 下午5:45,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.6,,0,￥1.00,￥2.00
2.1.2.3.2.8,第四章@ GYFYH finish,2019/2/16 下午5:45,2019/2/16 下午5:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.7,,,￥1.00,￥1.00
2.1.2.3.2.9,GYFYH@第五章,2019/2/16 下午5:45,2019/2/17 上午9:45,1 天,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.8,,0,￥1.00,￥2.00
2.1.2.3.2.10,第五章@ GYFYH finish,2019/2/17 上午9:45,2019/2/17 上午9:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.9,,,￥1.00,￥1.00
2.1.2.3.2.11,GYFYH@第六章,2019/2/17 上午9:45,2019/2/17 下午5:45,7 小时,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.10,,0,￥1.00,￥2.00
2.1.2.3.2.12,第六章@ GYFYH finish,2019/2/17 下午5:45,2019/2/17 下午5:45,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.11,,,￥1.00,￥1.00
2.1.2.3.2.13,GYFYH@第七章,2019/2/17 下午5:45,2019/2/18 下午9:30,2 天 2 小时 45 分,1 天,0%,￥1.00,Off work,,,,,2019/1/2 上午7:00,,2.1.2.3.2.12,,0,￥1.00,￥2.00
