WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
2.2.1.6.1,聪明人用方格笔记本,2019/1/8 上午7:00,2019/1/10 下午10:15,1 周 4 小时 15 分,1 天 4 小时,43%,,,,,,,2019/1/2 上午7:00,,,,,￥6.00,￥6.00
2.2.1.6.1.1,FGBJB@ 第一章&第二章,2019/1/8 上午7:00,2019/1/8 下午10:45,1 天 6 小时 45 分,4 小时,100%,,Off work,,,,,2019/1/8 上午7:00,,,,0,￥1.00,￥1.00
2.2.1.6.1.2,第一章&第二章@FGBJB  finish,2019/1/8 下午10:45,2019/1/8 下午10:45,,,100%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.6.1.1,,,￥1.00,￥1.00
2.2.1.6.1.3,FGBJB@ 第三章&第四章,2019/1/8 下午10:45,2019/1/9 下午10:30,1 天 6 小时 45 分,4 小时,30%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.6.1.2,,0,￥1.00,￥1.00
2.2.1.6.1.4,第三章&第四章@FGBJB  finish,2019/1/9 下午10:30,2019/1/9 下午10:30,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.6.1.3,,,￥1.00,￥1.00
2.2.1.6.1.5,FGBJB@ 第五章,2019/1/9 下午10:30,2019/1/10 下午10:15,1 天 6 小时 45 分,4 小时,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.6.1.4,,0,￥1.00,￥1.00
2.2.1.6.1.6,第五章@FGBJB  finish,2019/1/10 下午10:15,2019/1/10 下午10:15,,,0%,,Off work,,,,,2019/1/2 上午7:00,,2.2.1.6.1.5,,,￥1.00,￥1.00
2.2.1.7,The art of Plan & Report ,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2.2,Language,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2.3,New Skill master,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
2.2.3.1,Car Driving,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
3,Hobbies,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
3.1,Origami,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
4,Wealth,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
4.1,Stock,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
5,Entertaining,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
6,Health,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
7,Family,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
8,Social Communication,2018/12/5 上午8:00,2018/12/5 上午8:00,0 秒,0 秒,0%,,,,,,,2018/12/5 上午8:00,,,,,,
